Organ,FTU Label in Uberon,FTU ID in Uberon,CL_ID,CT Label,azimuth,celltypist,popv
Lung,Bronchial Submucosal Gland,UBERON 8410043,CL:4033022,mucus secreting cell of bronchus submucosal gland,1,1,0
Lung,Bronchial Submucosal Gland,UBERON 8410043,CL:4033023,airway submucosal gland collecting duct epithelial cell,1,1,0
Lung,Bronchial Submucosal Gland,UBERON 8410043,CL:0000313,serous secreting cell of bronchus submucosal gland,1,1,0
Lung,Bronchial Submucosal Gland,UBERON 8410043,CL:4033003,myoepithelial cell of bronchus submucosal gland,0,0,0
Lung,Pulmonary Alveolus,UBERON:0002299,CL:0002063,type II pneumocyte,1,1,1
Lung,Pulmonary Alveolus,UBERON:0002299,CL:0009089,lung pericyte,1,0,0
Lung,Pulmonary Alveolus,UBERON:0002299,CL:0002062,type I pneumocyte,1,1,1
Lung,Pulmonary Alveolus,UBERON:0002299,CL:4028004,alveolar type 1 fibroblast cell,1,1,0
Lung,Pulmonary Alveolus,UBERON:0002299,CL:4033016,secondary crest myofibroblast,0,0,0
Lung,Pulmonary Alveolus,UBERON:0002299,CL:4028002,alveolar capillary type 1 endothelial cell,0,0,0
Pancreas,Acinus,UBERON:0001263,CL:0002064,pancreatic acinar cell,1,1,1
Pancreas,Acinus,UBERON:0001263,CL:1000322,pancreatic goblet cell,0,0,0
Pancreas,Acinus,UBERON:0001263,CL:1001433,epithelial cell of exocrine pancreas,0,0,0
Pancreas,Acinus,UBERON:0001263,CL:0002080,pancreatic centro-acinar cell,0,0,0
Pancreas,Islet of Langerhans,UBERON:0000006,CL:0000171,pancreatic A cell,1,1,1
Pancreas,Islet of Langerhans,UBERON:0000006,CL:0000169,type B pancreatic cell,0,1,1
Pancreas,Islet of Langerhans,UBERON:0000006,CL:0000173,pancreatic D cell,1,1,0
Pancreas,Islet of Langerhans,UBERON:0000006,CL:0002275,pancreatic PP cell,1,1,1
Pancreas,Islet of Langerhans,UBERON:0000006,CL:0002144,capillary endothelial cell,1,1,1
Pancreas,Islet of Langerhans,UBERON:0000006,CL:0000235,macrophage,1,1,1
Prostate,Prostate Glandular Acinus,UBERON:0004179,CL:1000301,fibroblast of subepithelial connective tissue of prostatic gland,0,0,0
Prostate,Prostate Glandular Acinus,UBERON:0004179,CL:1000487,smooth muscle cell of prostate,0,0,0
Prostate,Prostate Glandular Acinus,UBERON:0004179,CL:1000299,fibroblast of connective tissue of prostate,0,0,0
Prostate,Prostate Glandular Acinus,UBERON:0004179,CL:2000059,prostate gland microvascular endothelial cell,0,0,0
Prostate,Prostate Glandular Acinus,UBERON:0004179,CL:0002340,luminal cell of prostate epithelium,0,0,1
Prostate,Prostate Glandular Acinus,UBERON:0004179,CL:0002341,basal cell of prostate epithelium,0,0,1
Prostate,Prostate Glandular Acinus,UBERON:0004179,CL:0000359,vascular associated smooth muscle cell,0,1,1
Prostate,Prostate Glandular Acinus,UBERON:0004179,CL:0000669,pericyte,1,1,1
Skin,Dermal Papilla,UBERON:0001992,CL:0002620,skin fibroblast,0,0,0
Skin,Dermal Papilla,UBERON:0001992,CL:0000115,endothelial cell,1,1,1
Skin,Epidermal Ridge,UBERON:0013487,CL:0000649,prickle cell,0,0,0
Skin,Epidermal Ridge,UBERON:0013487,CL:0002457,epidermal Langerhans cell,0,1,0
Skin,Epidermal Ridge,UBERON:0013487,CL:0002187,basal cell of epidermis,0,1,0
Skin,Epidermal Ridge,UBERON:0013487,CL:0000242,Merkel cell,0,0,0
Skin,Epidermal Ridge,UBERON:0013487,CL:1000458,melanocyte of skin,0,1,0
Small Intestine,Villus,UBERON 0001213,CL:0000623,natural killer cell,1,1,0
Small Intestine,Villus,UBERON 0001213,CL:0000057,fibroblast,1,1,1
Small Intestine,Villus,UBERON 0001213,CL:0009080,tuft cell of small intestine,0,0,1
Small Intestine,Villus,UBERON 0001213,CL:0000584,enterocyte,0,1,0
Small Intestine,Villus,UBERON 0001213,CL:0000097,mast cell,1,1,1
Small Intestine,Villus,UBERON 0001213,CL:1000324,duodenal goblet cell,0,0,0
Small Intestine,Villus,UBERON 0001213,CL:0000186,myofibroblast,1,1,1
Small Intestine,Villus,UBERON 0001213,CL:0000786,plasma cell,1,1,1
Small Intestine,Villus,UBERON 0001213,CL:0000451,dendritic cell,1,1,1
Small Intestine,Villus,UBERON 0001213,CL:0000236,B cell,1,1,1
Small Intestine,Villus,UBERON 0001213,CL:0000771,eosinophil,0,0,0
Small Intestine,Villus,UBERON 0001213,CL:0001065,innate lymphoid cell,1,1,1
Small Intestine,Villus,UBERON 0001213,CL:0000163,endocrine cell,0,0,0
Spleen,Red Pulp,UBERON:0001250,CL:0000877,splenic tingible body macrophage,0,0,0
Spleen,Red Pulp,UBERON:0001250,CL:0000872,splenic marginal zone macrophage,0,0,0
Spleen,Red Pulp,UBERON:0001250,CL:0000874,splenic red pulp macrophage,0,0,0
Spleen,Red Pulp,UBERON:0001250,CL:0001056,"dendritic cell, human",1,1,0
Spleen,Red Pulp,UBERON:0001250,CL:0000037,hematopoetic stem cell,0,1,1
Spleen,White Pulp,UBERON:0001959,CL:0000876,splenic white pulp macrophage,0,0,0
Spleen,White Pulp,UBERON:0001959,CL:0000192,smooth muscle cell,1,1,1
Spleen,White Pulp,UBERON:0001959,CL:2000053,splenic endothelial cell,0,0,0
Spleen,White Pulp,UBERON:0001959,CL:0000499,stromal cell,1,1,1
Spleen,White Pulp,UBERON:0001959,CL:1000489,reticular cell of splenic cord,0,0,0
Spleen,White Pulp,UBERON:0001959,CL:0001055,"CD14-positive, CD16-low monocyte",0,0,0
Spleen,White Pulp,UBERON:0001959,CL:0000442,follicular dendritic cell,1,0,0
Spleen,White Pulp,UBERON:0001959,CL:0000980,plasmablast,1,1,0
Spleen,White Pulp,UBERON:0001959,CL:0000775,neutrophil,1,1,1
Thymus,Thymus Lobule,UBERON:0002125,CL:0000809,"double-positive, alpha-beta thymocyte",0,0,0
Thymus,Thymus Lobule,UBERON:0002125,CL:0000942,thymic plasmacytoid dendritic cell,0,0,0
Thymus,Thymus Lobule,UBERON:0002125,CL:0000071,blood vessel endothelial cell,1,1,1
Thymus,Thymus Lobule,UBERON:0002125,CL:0000883,thymic cortical macrophage,0,0,0
Thymus,Thymus Lobule,UBERON:0002125,CL:0009077,subcapsular cortical epithelial cell,0,0,0
Thymus,Thymus Lobule,UBERON:0002125,CL:0001070,beige adipocyte,0,0,0
Thymus,Thymus Lobule,UBERON:0002125,CL:0000084,T cell,1,1,1
Thymus,Thymus Lobule,UBERON:0002125,CL:0009071,medullary thymic epithelial cell type 1,0,0,0
Thymus,Thymus Lobule,UBERON:0002125,CL:0000787,memory B cell,1,1,1
Thymus,Thymus Lobule,UBERON:0002125,CL:0009070,corticomedullary thymic epithelial cell,0,0,0
Thymus,Thymus Lobule,UBERON:0002125,CL:0000738,leukocyte,1,1,1
Thymus,Thymus Lobule,UBERON:0002125,CL:0000882,thymic medullary macrophage,0,0,0
Thymus,Thymus Lobule,UBERON:0002125,CL:0000788,naive B cell,1,1,1
